structure_id,date_constructed_bce,date_constructed_ad,structure_name,renovation_of_previous_structure,previous_structure,iteration_on_previous_structure,architectural_complexity,structural_dimensions,statue,wall,stairwell_staircase,structural_support,building,castle,gallery,temple,tomb,bridge,canal system,dam,building_material,structural_integrity,structural_preservation,architects,wonder,model,model_image,regions,num_of_corroborative_sources,source_ids,source_page_references,primary_source_ids,primary_source_page _references
SID19,null,null,Khasekhemui's Mastaba,FALSE,null,null,null,null,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Limestone,null,null,King Khasekhemui,FALSE,null,null,Ancient Egypt,null,C23A1,p.40,null,null
SID20,2686-2613 BCE,null,Square Mastaba,FALSE,null,TRUE,null,"Base: 200x200 ft, Height: 26 ft",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Limestone,null,null,"King Djoser, Imhotep",FALSE,null,null,Ancient Egypt,null,C23A1,p.32,null,null
SID21,2686-2613 BCE,null,Four Step Pyramid at Saqqāra (Four Square Mastaba),TRUE,Square Mastaba,TRUE,null,null,FALSE,FALSE,null,null,TRUE,null,null,null,TRUE,FALSE,FALSE,FALSE,Limestone,null,null,"King Djoser, Imhotep",TRUE,null,null,Ancient Egypt,null,"C23A1, C23A5","p.29-32, p.3","P23A8, P23A9",null
SID22,2686-2613 BCE,null,Six Step Pyramid at Saqqāra (Six Square Mastaba),TRUE,Four Step Pyramid at Saqqāra,TRUE,null,"Base: 358x411 ft, Height :200 ft",FALSE,FALSE,null,null,TRUE,null,null,null,TRUE,FALSE,FALSE,FALSE,Limestone,null,null,"King Djoser, Imhotep",TRUE,null,null,Ancient Egypt,null,"C23A1, C23A5","p.29-32, p.3","P23A8, P23A9",null
SID23,null,null,Pyramid Burial Chamber,FALSE,null,null,null,null,FALSE,FALSE,null,null,TRUE,null,null,null,TRUE,FALSE,FALSE,FALSE,"Granite, Limestone",null,null,"King Djoser, Imhotep",null,null,null,Ancient Egypt,null,C23A1,p.32,null,null
SID24,2686-2613 BCE,null,Djoser's Mortuary Temple,FALSE,null,FALSE,null,Base: 885x1470 ft,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Limestone,null,null,"King Djoser, Imhotep",FALSE,null,null,Ancient Egypt,3,"C23A1, C23A5","p.32, p.3",P23A8,null
SID25,null,null,Seven Step Pyramid at Maydūm,FALSE,null,TRUE,null,null,FALSE,FALSE,null,null,TRUE,null,null,null,TRUE,FALSE,FALSE,FALSE,Limestone,null,null,null,TRUE,null,null,Ancient Egypt,null,C23A1,p.29,null,null
SID26,null,null,Eight Step Pyramid at Maydūm,TRUE,Seven Step Pyramid,TRUE,null,null,FALSE,FALSE,null,null,TRUE,null,null,null,TRUE,FALSE,FALSE,FALSE,Limestone,null,null,King Huni,TRUE,null,null,Ancient Egypt,2,"C23A1, C23A5","p.29, p.14",null,null
SID27,null,null,Smooth Sided Pyramid at Maydūm,TRUE,Eight Step Pyramid,TRUE,null,null,FALSE,FALSE,null,null,TRUE,null,null,null,TRUE,FALSE,FALSE,FALSE,Limestone,null,null,null,TRUE,null,null,Ancient Egypt,null,C23A1,p.29,null,null
SID28,null,null,The Blunted Pyramid at Dashūr,FALSE,null,TRUE,null,null,FALSE,FALSE,null,null,TRUE,null,null,null,TRUE,FALSE,FALSE,FALSE,Limestone,null,null,null,TRUE,null,null,Ancient Egypt,null,C23A1,p.29,null,null
SID29,2613-2494 BCE,null,South Stone Pyramid at Dashūr,FALSE,null,TRUE,null,null,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Limestone,null,null,King Sneferu,TRUE,null,null,Ancient Egypt,2,C23A1,p.29-33,P23A33,null
SID30,null,null,Khuit-Khufu the Great Pyramid,FALSE,null,TRUE,null,"Base: 756x756 ft, Height: 480 ft",FALSE,FALSE,null,null,TRUE,null,null,null,TRUE,FALSE,FALSE,FALSE,Limestone,null,null,King Khufu,TRUE,null,null,Ancient Egypt,4,C23A1,p.29-36,"P23A4, P23A5, P23A6",null
SID31,null,null,Great Pyramid Ascending Corridor,FALSE,null,FALSE,null,null,FALSE,FALSE,TRUE,FALSE,FALSE,null,null,null,FALSE,FALSE,FALSE,FALSE,null,null,null,King Khufu,null,null,null,null,null,null,null,null,null
SID32,null,null,Great Pyramid Grand Gallery,FALSE,null,FALSE,null,null,FALSE,FALSE,FALSE,FALSE,TRUE,null,TRUE,null,FALSE,FALSE,FALSE,FALSE,null,null,null,King Khufu,null,null,null,null,null,null,null,null,null
SID33,null,null,Great Pyramid King's Chamber,FALSE,null,TRUE,null,null,FALSE,FALSE,null,FALSE,TRUE,null,null,null,TRUE,FALSE,FALSE,FALSE,"Granite, Limestone",null,null,King Khufu,null,null,null,Ancient Egypt,null,null,null,null,null
SID34,null,null,Great Pyramid Queen's Chamber,FALSE,null,FALSE,null,null,FALSE,FALSE,null,FALSE,TRUE,null,null,null,TRUE,FALSE,FALSE,FALSE,"Granite, Limestone",null,null,King Khufu,null,null,null,Ancient Egypt,null,null,null,null,null
SID35,null,null,Great Pyramid Inclosure,FALSE,null,TRUE,null,null,FALSE,TRUE,null,FALSE,null,null,null,null,null,FALSE,FALSE,FALSE,null,null,null,King Khufu,null,null,null,Ancient Egypt,null,C23A1,p.36,P23A5,null
SID36,null,null,Great Pyramid Mortuary Temple,FALSE,null,TRUE,null,null,FALSE,FALSE,null,FALSE,TRUE,null,null,null,TRUE,FALSE,FALSE,FALSE,Limestone,null,null,King Khufu,null,null,null,Ancient Egypt,null,C23A1,p.36,P23A5,null
SID37,null,null,Corbelled Arch and Vault,FALSE,null,null,Low,null,FALSE,FALSE,null,TRUE,FALSE,null,null,null,FALSE,FALSE,FALSE,FALSE,"Stone, Brick",null,null,null,FALSE,null,null,"Ancient Egypt, Ancient Mesopotamia",null,C23A1,p.35,null,null
